month,trades,gross_pnl,charges,net_pnl
2021-08,11,-3009.68,978.74,-3988.41
2021-09,22,-4782.65,1958.34,-6740.98
2021-10,30,-3361.85,2672.03,-6033.89
2021-11,22,-32629.36,1952.43,-34581.8
2021-12,36,21604.04,3216.14,18387.87
2022-01,26,6315.62,2313.16,4002.55
2022-02,25,-14009.2,2220.11,-16229.31
2022-03,25,2896.81,2231.42,665.34
2022-04,28,-3151.08,2488.11,-5639.17
2022-05,22,4355.51,1962.02,2393.49
2022-06,20,-5528.61,1777.36,-7305.98
2022-07,33,21830.22,2939.33,18890.92
2022-08,38,14903.72,3384.77,11518.92
2022-09,32,18244.64,2846.24,15398.42
2022-10,32,5034.43,2855.63,2178.82
2022-11,33,-1859.72,2928.07,-4787.78
2022-12,20,-17875.31,1770.98,-19646.26
2023-01,26,3556.41,2316.36,1240.06
2023-02,25,21350.83,2231.25,19119.59
2023-03,32,11697.24,2846.67,8850.59
2023-04,19,4352.65,1689.14,2663.49
2023-05,27,-21557.18,2391.67,-23948.84
2023-06,33,-4331.39,2931.05,-7262.44
2023-07,26,-4000.76,2316.04,-6316.78
2023-08,25,17849.9,2229.45,15620.41
2023-09,20,-10378.69,1775.83,-12154.49
2023-10,27,-2743.79,2402.27,-5146.07
2023-11,23,-7307.95,2046.25,-9354.17
2023-12,19,-3652.12,1689.15,-5341.23
2024-01,36,9108.61,3210.69,5897.93
2024-02,32,-3954.25,2841.12,-6795.38
2024-03,23,1412.73,2043.41,-630.66
2024-04,36,12416.66,3209.54,9207.16
2024-05,36,5334.68,3199.63,2135.05
2024-06,27,14707.54,2404.34,12303.23
2024-07,28,-15160.35,2484.52,-17644.85
2024-08,32,6828.07,2846.57,3981.47
2024-09,24,10940.99,2136.82,8804.15
2024-10,17,-12775.77,1505.64,-14281.39
2024-11,19,-23543.13,1682.46,-25225.61
2024-12,19,1740.63,1690.9,49.75
2025-01,23,-21356.32,2040.49,-23396.84
2025-02,15,-10324.04,1330.1,-11654.15
2025-03,23,-9727.78,2037.87,-11765.68
2025-04,30,4700.9,2668.73,2032.18
2025-05,38,8001.02,3377.0,4623.99
2025-06,28,6599.43,2486.85,4112.56
2025-07,30,-5650.6,2662.6,-8313.23
2025-08,30,4967.0,2659.86,2307.12
2025-09,25,-10764.07,2217.27,-12981.32
2025-10,17,20751.66,1513.34,19238.34
2025-11,25,-4321.34,2219.55,-6540.88
2025-12,30,-13641.71,2653.53,-16295.23
2026-01,22,-10362.95,1952.38,-12315.34
2026-02,23,428.34,2049.38,-1621.0
2026-03,25,11936.96,2227.08,9709.88
2026-04,18,-8162.1,1593.78,-9755.89
